producto_id,nombre_producto,categoria,fecha_caducidad,stock_actual,precio_unitario,sales_ultimos_7d,ventas_promedio_diaria,dias_hasta_caducidad,proveedor,en_promocion,precio_promocion,fecha_ultima_venta,temperatura_almacen,humedad_almacen,categoria_riesgo
PRD006,Jugo de Naranja Natural 1L,bebidas,2025-08-25,100,2.0,70,10.0,23,Bebidas del Sol,False,,2025-07-31,4.0,65.0,bajo
PRD007,Yogurt Natural 150g,lacteos,2025-08-12,180,0.9,120,17.1,10,YogurtPlus,False,,2025-07-31,4.0,82.0,bajo
PRD008,Queso Gouda 200g,lacteos,2025-08-18,90,2.5,60,8.6,16,Quesos Artesanales,False,,2025-07-30,5.0,70.0,bajo
PRD009,Zumo de Manzana 1L,bebidas,2025-08-22,120,2.5,85,12.1,20,Frutas y Zumos,False,,2025-07-30,4.0,68.0,bajo
PRD010,Huevos Orgánicos 12 U,verduras,2025-08-07,160,3.0,100,14.3,5,HuevoFresco,False,,2025-07-31,5.0,78.0,bajo
PRD011,Broccoli Orgánico,verduras,2025-08-09,75,1.8,50,7.1,7,VeggieFarm,False,,2025-07-29,4.0,80.0,medio
PRD012,Cerveza Artesanal 330ml,bebidas,2025-08-30,90,2.8,75,10.7,28,Cervezas del Mundo,False,,2025-07-30,4.0,55.0,bajo
PRD013,Pan Integral 500g,panaderia,2025-08-02,180,2.2,150,21.4,0,PanExpress,False,,2025-07-31,22.0,70.0,medio
PRD014,Refresco Cola 600ml,bebidas,2025-08-28,110,1.8,85,12.1,26,Refrescos Unidos,False,,2025-07-30,4.0,65.0,bajo
PRD015,Fresas 250g,frutas,2025-08-09,130,2.5,95,13.6,7,FruityFarm,True,2.0,2025-07-31,2.0,90.0,medio
PRD016,Queso Cheddar 200g,lacteos,2025-08-16,70,3.2,55,7.9,14,Quesos Artesanales,False,,2025-07-29,5.0,70.0,bajo
PRD017,Agua Mineral 1.5L,bebidas,2025-09-05,140,1.5,80,11.4,34,AquaPure,False,,2025-07-31,4.0,60.0,bajo
PRD018,Pechuga de Pollo,carnes,2025-08-04,55,7.0,30,4.3,2,PolloFresco,False,,2025-07-29,2.0,65.0,alto
PRD019,Jamon Cocido 200g,carnes,2025-08-03,45,5.0,25,3.6,1,Cárnicas La Pampa,False,,2025-07-28,1.0,55.0,alto
PRD001,Manzanas Rojas,frutas,2025-08-20,150,1.2,35,5.0,18,Frutas del Valle,False,,2025-07-30,4.0,80.0,bajo
PRD002,Leche Entera 1L,lacteos,2025-08-28,80,1.1,50,7.0,26,Lácteos La Leche,True,0.9,2025-07-31,4.0,85.0,medio
PRD003,Broccoli Fresco,verduras,2025-08-12,60,2.5,20,3.0,10,Verduras del Campo,False,,2025-07-29,2.0,70.0,medio
PRD004,Pechuga de Pollo,carnes,2025-08-09,45,5.0,15,2.0,7,Carnes Rápidas,True,4.5,2025-07-31,0.0,85.0,alto
PRD005,Pan Integral 500g,panaderia,2025-08-15,120,1.8,40,6.0,13,Panaderia Central,False,,2025-07-28,20.0,60.0,bajo
PRD006,Jugo de Naranja 1L,bebidas,2025-08-24,90,2.0,30,4.0,22,Bebidas del Sol,True,1.8,2025-07-30,4.0,85.0,bajo
PRD007,Queso Cheddar 200g,lacteos,2025-08-25,55,3.5,22,3.0,23,Quesos del Valle,False,,2025-07-31,4.0,80.0,medio
PRD008,Tomates Cherry 250g,verduras,2025-08-16,70,2.0,25,4.0,14,Huertos Orgánicos,False,,2025-07-29,2.0,75.0,medio
PRD009,Jamon Serrano 150g,carnes,2025-08-21,35,4.8,12,1.5,19,Cárnicas Serrano,False,,2025-07-30,0.0,85.0,alto
PRD010,Agua Mineral 1.5L,bebidas,2025-09-02,200,0.8,60,9.0,31,AguaPura Ltda,False,,2025-07-31,8.0,90.0,bajo
PRD011,Fresas 250g,frutas,2025-08-10,100,3.0,45,6.5,8,Frescas del Valle,True,2.5,2025-07-30,4.0,75.0,medio
PRD012,Yogur Natural 150g,lacteos,2025-08-25,95,1.0,33,4.7,23,YogurtPlus,False,,2025-07-31,4.0,85.0,bajo
PRD013,Sandía 1kg,frutas,2025-08-09,85,4.0,38,5.5,7,Frutas del Valle,False,,2025-07-29,4.0,78.0,bajo
PRD014,Cerveza Artesanal 330ml,bebidas,2025-08-18,130,3.5,55,7.9,16,Cervezas Artesanales,False,,2025-07-30,4.0,70.0,bajo
PRD015,Jamon Cocido 150g,carnes,2025-08-23,50,4.0,20,3.0,21,Carnes Express,False,,2025-07-30,0.0,85.0,alto
PRD016,Bebida Gaseosa 2L,bebidas,2025-08-19,160,1.5,65,9.0,17,Bebidas Cola,True,1.3,2025-07-30,8.0,85.0,bajo
PRD017,Yogur de Frutas 125g,lacteos,2025-08-23,70,1.2,25,3.5,21,YogurtPlus,False,,2025-07-30,4.0,85.0,bajo
PRD018,Manzanas Verdes,frutas,2025-08-11,130,1.3,40,6.0,9,Frutas del Valle,False,,2025-07-29,4.0,78.0,bajo
PRD019,Zumo de Manzana 1L,bebidas,2025-08-30,85,2.2,28,4.0,28,Bebidas del Valle,False,,2025-07-31,4.0,85.0,bajo
PRD001,Manzanas Fuji,frutas,2025-08-27,150,1.2,35,5.0,25,FruitCo,False,,2025-07-28,4.0,70.0,bajo
PRD002,Leche Entera Lala,lacteos,2025-08-25,80,0.9,28,4.0,23,DairyBest,True,0.75,2025-07-30,2.0,85.0,medio
PRD003,Tomates Russet,verduras,2025-08-29,200,0.6,50,7.0,27,VeggieFarm,False,,2025-07-30,10.0,65.0,bajo
PRD004,Pechuga de Pollo,carnes,2025-08-20,60,4.5,18,3.0,18,MeatMasters,True,4.0,2025-07-28,0.0,60.0,alto
PRD005,Pan Francés,panaderia,2025-08-03,120,1.0,60,8.5,1,BakerySweet,False,,2025-07-31,22.0,55.0,medio
PRD006,Jugo de Naranja,bebidas,2025-09-01,300,2.0,80,11.0,30,Beverages Inc,True,1.8,2025-07-27,4.0,75.0,bajo
PRD007,Yogurt Griego,lacteos,2025-08-28,100,1.5,40,6.0,26,DairyPrime,False,,2025-07-29,4.0,80.0,medio
PRD008,Carne de Res Molida,carnes,2025-08-19,50,8.0,22,3.0,17,MeatBest,False,,2025-07-30,1.0,55.0,alto
PRD009,Agua Mineral Sin Gas,bebidas,2025-09-02,250,0.5,70,10.0,31,AquaPure,False,,2025-07-27,8.0,65.0,bajo
PRD010,Queso Gouda,lacteos,2025-08-26,90,3.5,15,2.0,24,CheeseWorld,True,3.0,2025-07-31,6.0,85.0,medio
PRD011,Bananas,frutas,2025-08-23,180,0.3,60,8.0,21,Tropical Farms,False,,2025-07-30,4.0,70.0,bajo
PRD012,Espinaca Orgánica,verduras,2025-08-24,130,1.0,25,3.5,22,GreenLeaf,False,,2025-07-29,10.0,60.0,bajo
PRD013,Galletas Integrales,panaderia,2025-08-05,90,1.2,45,6.0,3,SweetBite,False,,2025-07-30,20.0,50.0,medio
PRD014,Refresco Cola,bebidas,2025-08-31,210,1.5,55,7.8,29,ColaBrew,True,1.3,2025-07-31,5.0,80.0,bajo
PRD015,Cerveza Artesanal,bebidas,2025-09-10,150,3.0,33,4.5,39,BrewMasters,False,,2025-07-30,4.0,75.0,bajo
PRD016,Cheddar en Barra,lacteos,2025-08-24,70,2.8,18,2.5,22,CheeseWorld,False,,2025-07-29,6.0,85.0,medio
PRD017,Salchicha de Cerdo,carnes,2025-08-18,40,6.0,15,2.2,16,MeatCraft,False,,2025-07-29,2.0,55.0,alto
PRD018,Jugo de Manzana,bebidas,2025-08-30,240,1.8,62,9.0,28,FruityJuice,True,1.5,2025-07-31,4.0,72.0,bajo
PRD019,Mozzarella Fresca,lacteos,2025-08-23,85,2.5,20,3.0,21,CheeseWorld,False,,2025-07-30,5.0,80.0,medio
PRD001,Manzanas Fuji,frutas,2025-08-31,150,1.2,70,10.0,29,AgroFruits Ltd.,False,,2025-07-30,4.0,85.0,bajo
PRD002,Leche Entera,lacteos,2025-08-15,200,0.9,120,17.1,13,DairyBest Co.,True,0.75,2025-07-31,4.0,70.0,bajo
PRD003,Pechuga de Pollo,carnes,2025-08-05,80,5.5,50,7.1,3,Carnes del Sur,False,,2025-07-29,2.0,80.0,alto
PRD004,Pan Baguette,panaderia,2025-08-02,300,1.0,180,25.7,0,Panaderos Unidos,False,,2025-07-31,22.0,60.0,bajo
PRD005,Naranja Valencia,frutas,2025-08-20,100,0.8,60,8.6,18,Círculo Frutícola,True,0.65,2025-07-31,5.0,90.0,bajo
PRD006,Agua Mineral 1.5L,bebidas,2025-09-10,400,0.5,150,21.4,39,Bebidas del Valle,False,,2025-07-31,8.0,50.0,bajo
PRD007,Queso Gouda,lacteos,2025-08-25,120,3.75,35,5.0,23,Quesos Finos SA.,False,,2025-07-29,4.0,65.0,medio
PRD008,Carne de Res Molida,carnes,2025-08-03,60,8.0,40,5.7,1,ResImportados,True,7.0,2025-07-30,1.5,85.0,alto
PRD009,Jugo de Naranja Natural,bebidas,2025-08-17,250,2.5,100,14.3,15,Naranjas del Sol,False,,2025-07-31,6.0,85.0,bajo
PRD010,Pan Integral,panaderia,2025-08-02,220,1.2,160,22.9,0,Panadería Moderna,False,,2025-07-31,22.0,55.0,bajo
PRD011,Fresas Congeladas,frutas,2025-09-05,90,2.2,45,6.4,34,Congelados del Norte,True,1.8,2025-07-30,-18.0,40.0,medio
PRD012,Yogurt Natural,lacteos,2025-09-01,180,0.7,90,12.9,30,Yogur Rico,False,,2025-07-31,4.0,70.0,bajo
PRD013,Cola Cola 500ml,bebidas,2025-09-20,350,1.5,170,24.3,49,Refrescos Global,False,,2025-07-31,8.0,50.0,bajo
PRD014,Bollo de Pan,panaderia,2025-08-02,250,1.1,200,28.6,0,Panaderos Unidos,False,,2025-07-31,22.0,55.0,bajo
PRD015,Sandía,frutas,2025-08-22,75,3.0,55,7.9,20,Círculo Frutícola,False,,2025-07-31,6.0,90.0,bajo
PRD016,Gaseosa Cola 2L,bebidas,2025-08-28,500,2.5,200,28.6,26,Refrescos Global,True,2.0,2025-07-31,8.0,50.0,bajo
PRD017,Queso Cheddar,lacteos,2025-08-24,130,4.2,40,5.7,22,Quesos Finos SA.,False,,2025-07-30,4.0,65.0,medio
PRD018,Brocoli Fresco,verduras,2025-08-07,70,1.5,30,4.3,5,Verduras del Valle,False,,2025-07-29,2.0,85.0,alto
PRD001,Manzanas Fuji,frutas,2025-08-30,150,1.2,120,17.1,28,AgroFresca,False,,2025-07-30,4.0,85.0,bajo
PRD002,Leche Entera 1L,lacteos,2025-08-15,80,0.95,90,12.9,13,Lácteos del Valle,True,0.85,2025-07-31,4.0,75.0,medio
PRD003,Bananas Ricas,frutas,2025-08-24,200,0.5,180,25.7,22,Bananafield,False,,2025-08-01,13.0,88.0,bajo
PRD004,Carne de Res Corte Fino,carnes,2025-08-18,50,8.5,45,6.4,16,CarneMaster,True,7.5,2025-07-29,0.0,60.0,alto
PRD005,Yogur Natural 125g,lacteos,2025-08-10,180,0.75,160,22.9,8,YogurNatur,False,,2025-07-30,4.0,80.0,bajo
PRD006,Pan Baguette,panaderia,2025-08-02,100,1.0,150,21.4,0,PanaderoFiel,False,,2025-07-30,22.0,70.0,bajo
PRD007,Jugo de Naranja 1L,bebidas,2025-08-28,120,2.0,85,12.1,26,NaranjEx,False,,2025-07-31,8.0,65.0,bajo
PRD008,Queso Gouda 200g,lacteos,2025-08-20,60,3.2,70,10.0,18,Quesos del Valle,False,,2025-07-29,4.0,75.0,medio
PRD009,Manzanas Verde,frutas,2025-08-29,170,1.3,160,22.9,27,AgroFresca,False,,2025-07-31,4.0,85.0,bajo
PRD010,Cerveza Lager 330ml,bebidas,2025-09-01,300,1.8,250,35.7,30,BrewHouse,False,,2025-07-31,12.0,60.0,bajo
PRD011,Zanahorias Orgánicas,verduras,2025-08-27,130,0.9,110,15.7,25,VerdurAgro,False,,2025-07-30,10.0,80.0,bajo
PRD012,Hamburguesas de Pollo,carnes,2025-08-17,40,5.5,35,5.0,15,CarnesExpress,True,4.9,2025-07-29,2.0,55.0,alto
PRD013,Bebida Cola 2L,bebidas,2025-09-10,250,2.5,200,28.6,39,Refrescos del Mundo,False,,2025-07-30,10.0,70.0,bajo
PRD014,Palitos de Pan,panaderia,2025-08-02,90,1.2,100,14.3,0,PanBake,False,,2025-07-31,22.0,70.0,bajo
PRD015,Queso Crema 250g,lacteos,2025-08-25,70,2.8,60,8.6,23,Quesos del Valle,False,,2025-07-30,4.0,76.0,medio
PRD016,Gaseosa Cola 500ml,bebidas,2025-08-19,220,1.5,190,27.1,17,Refrescos del Mundo,True,1.3,2025-07-31,12.0,65.0,bajo
PRD017,Espinaca Orgánica,verduras,2025-08-26,90,1.1,80,11.4,24,VerdurAgro,False,,2025-07-30,10.0,80.0,bajo
PRD018,Carne de Cerdo Filete,carnes,2025-08-16,45,7.0,40,5.7,14,CarnesExpress,False,,2025-07-29,2.0,55.0,alto
PRD019,Agua Mineral 500ml,bebidas,2025-08-23,250,0.8,230,32.9,21,MineralPlus,False,,2025-07-30,8.0,70.0,bajo
PRD001,Manzanas Golden,frutas,2025-08-31,150,1.2,100,14.3,29,AgroFruits Ltd.,False,,2025-07-30,4.0,70.0,bajo
PRD002,Leche Entera 1L,lacteos,2025-09-02,200,0.9,180,25.7,31,DairyBest Co.,True,0.8,2025-08-01,4.0,85.0,bajo
PRD003,Broccoli,verduras,2025-08-20,80,2.5,50,7.1,18,GreenFarm Inc.,False,,2025-07-31,2.0,60.0,medio
PRD004,Pechuga de Pollo,carnes,2025-08-10,120,5.0,80,11.4,8,Carnes y Más,False,,2025-07-29,1.5,65.0,alto
PRD005,Pan Integral,panaderia,2025-08-05,300,1.0,170,24.3,3,BakeHappy Ltd.,True,0.9,2025-07-31,22.0,55.0,bajo
PRD006,Agua Mineral 1.5L,bebidas,2025-09-15,400,0.5,220,31.4,43,HydroPure,False,,2025-07-28,10.0,80.0,bajo
PRD007,Queso Gouda,lacteos,2025-08-28,60,3.5,45,6.4,26,DairyFresh Ltd.,False,,2025-07-30,4.0,75.0,bajo
PRD008,Filete de Res,carnes,2025-08-12,70,8.5,35,5.0,10,PremiumMeats Co.,False,,2025-07-28,0.5,60.0,alto
PRD009,Jugo de Naranja 1L,bebidas,2025-09-10,250,2.0,130,18.6,39,OrangeMundo,False,,2025-07-27,8.0,85.0,bajo
PRD010,Yogurt Natural 125g,lacteos,2025-08-25,180,0.75,160,22.9,23,YogurtWorld,True,0.65,2025-07-30,4.0,70.0,bajo
PRD011,Tajín Chili 50g,panaderia,2025-08-15,90,1.8,60,8.6,13,SpiceWorld,False,,2025-07-29,20.0,65.0,medio
PRD012,Cerveza Artesanal 330ml,bebidas,2025-09-05,330,2.5,140,20.0,34,BrewMasters,False,,2025-07-31,4.0,60.0,medio
PRD013,Bananas,frutas,2025-08-19,170,1.1,90,12.9,17,Tropical Fruits Co.,False,,2025-07-30,4.0,70.0,bajo
PRD014,Pan de Hamburgesa,panaderia,2025-08-04,250,1.5,120,17.1,2,FastBake Ltd.,False,,2025-07-30,22.0,55.0,bajo
PRD015,Refresco Cola 600ml,bebidas,2025-09-12,310,1.3,160,22.9,41,ColaWorld,True,1.2,2025-07-31,4.0,70.0,medio
PRD016,Fresas,frutas,2025-08-17,130,2.8,75,10.7,15,BerryBest Ltd.,False,,2025-07-30,4.0,70.0,bajo
PRD017,Leche Deslactosada 1L,lacteos,2025-09-02,190,1.0,160,22.9,31,DairyBest Co.,False,,2025-07-29,4.0,85.0,bajo
PRD018,Coca-Cola 600ml,bebidas,2025-09-10,290,1.2,150,21.4,39,CocaCola Ltd.,False,,2025-07-31,4.0,70.0,bajo
PRD019,Zanahorias,verduras,2025-08-21,90,1.3,55,7.9,19,VeggieWorld,False,,2025-07-30,2.0,60.0,medio
PRD020,Té Verde 100g,bebidas,2025-09-05,160,3.0,85,12.1,34,TeaTime Co.,False,,2025-07-28,20.0,70.0,bajo
PRD001,Manzanas Fuertes,frutas,2025-08-25,150,2.5,80,11.4,23,FruitCo,False,,2025-07-30,4.0,85.0,bajo
PRD002,Leche Entera 1L,lacteos,2025-08-12,200,1.2,180,25.7,10,DairyBest,True,1.0,2025-07-29,4.0,90.0,bajo
PRD003,Bananas,frutas,2025-08-20,300,0.5,150,21.4,18,TropicalFoods,False,,2025-07-31,5.0,80.0,bajo
PRD004,Carne de Res Fresca 500g,carnes,2025-08-07,50,10.0,40,5.7,5,MeatPro,False,,2025-07-28,1.0,70.0,alto
PRD005,Pan de Campo,panaderia,2025-08-16,100,1.0,70,10.0,14,BakeHouse,True,0.8,2025-07-31,22.0,60.0,medio
PRD006,Jugo de Naranja 1L,bebidas,2025-08-24,180,3.0,160,22.9,22,CitrusSupplies,False,,2025-07-29,8.0,85.0,bajo
PRD007,Queso Gouda 200g,lacteos,2025-08-14,120,4.5,60,8.6,12,DairyBest,False,,2025-07-30,4.0,88.0,bajo
PRD008,Carne de Pollo 1kg,carnes,2025-08-09,75,7.0,65,9.3,7,PoultryFarm,False,,2025-07-31,2.0,65.0,alto
PRD009,Refresco Cola 2L,bebidas,2025-08-23,220,2.5,210,30.0,21,SoftDrinkCo,False,,2025-07-28,10.0,70.0,bajo
PRD010,Yogur Natural 150g,lacteos,2025-08-17,160,1.5,140,20.0,15,DairyFresh,True,1.2,2025-07-31,4.0,89.0,bajo
PRD011,Tomates,verduras,2025-08-19,250,1.0,130,18.6,17,VeggieWorld,False,,2025-07-30,7.0,75.0,medio
PRD012,Leche Descremada 1L,lacteos,2025-08-13,190,1.1,170,24.3,11,DairyBest,False,,2025-07-30,4.0,88.0,bajo
PRD013,Jamon Cocido 250g,carnes,2025-08-10,60,5.0,55,7.9,8,MeatPro,False,,2025-07-29,2.0,68.0,alto
PRD014,Cerveza Artesanal 330ml,bebidas,2025-08-21,130,3.8,125,17.9,19,BrewMasters,False,,2025-07-30,12.0,60.0,medio
PRD015,Pan de Muerto,panaderia,2025-08-03,80,2.2,75,10.7,1,BakeHouse,False,,2025-07-31,22.0,65.0,medio
PRD016,Refresco Lemon 2L,bebidas,2025-08-20,210,2.8,200,28.6,18,CitrusSupplies,False,,2025-07-30,9.0,75.0,bajo
PRD017,Queso Roquefort 150g,lacteos,2025-08-22,100,6.0,45,6.4,20,DairyDelights,False,,2025-07-28,4.0,89.0,bajo
PRD018,Lomo de Cerdo 1kg,carnes,2025-08-11,90,8.5,55,7.9,9,MeatPro,False,,2025-07-29,2.0,65.0,alto
PRD019,Agua Mineral 500ml,bebidas,2025-08-19,250,0.8,240,34.3,17,MineralWater,False,,2025-07-31,7.0,85.0,bajo
PRD020,Mantequilla 250g,lacteos,2025-08-15,110,3.5,95,13.6,13,DairyDelights,False,,2025-07-29,4.0,87.0,bajo
PRD001,Manzanas rojas,frutas,2025-08-31,120,1.2,50,7.1,29,Frutas del Valle,False,,2025-07-29,4.0,80.0,bajo
PRD002,Leche entera 1L,lacteos,2025-08-15,85,0.9,30,4.3,13,Lácteos La Vaca,True,0.8,2025-07-30,4.0,85.0,bajo
PRD003,Bananas maduras,frutas,2025-08-25,200,0.5,70,10.0,23,Banana Tropical,False,,2025-07-31,6.0,75.0,bajo
PRD004,Yogur natural 6 piezas,lacteos,2025-08-12,60,2.5,15,2.1,10,Dairy Best,True,2.2,2025-07-28,4.0,80.0,bajo
PRD005,Carne de res cortes selectos,carnes,2025-08-20,40,12.0,8,1.1,18,Carnes del Sur,False,,2025-07-27,2.0,60.0,alto
PRD006,Pan integral 500g,panaderia,2025-08-08,150,1.0,60,8.6,6,Panaderia La Rural,False,,2025-07-30,22.0,55.0,medio
PRD007,Agua mineral 1.5L,bebidas,2025-09-15,300,0.8,180,25.7,43,Hidratec,False,,2025-07-31,8.0,70.0,bajo
PRD008,Queso gouda 200g,lacteos,2025-08-10,50,3.5,10,1.4,8,Quesos Finos,False,,2025-07-28,4.0,80.0,bajo
PRD009,Naranja Valencia,frutas,2025-08-27,170,0.6,55,8.1,25,Círculo Frutal,False,,2025-07-30,5.0,80.0,bajo
PRD010,Cerveza lager 330ml,bebidas,2025-09-05,250,1.5,120,17.1,34,Cervezas del Mundo,True,1.3,2025-07-31,10.0,75.0,medio
PRD011,Manzanas verdes,frutas,2025-09-01,90,1.3,45,6.4,30,Frutas del Valle,False,,2025-07-29,4.0,80.0,bajo
PRD012,Coca-Cola 2L,bebidas,2025-09-10,220,1.2,110,15.7,39,Refrescos Unidos,False,,2025-07-29,10.0,70.0,bajo
PRD013,Pollo entero congelado,carnes,2025-08-18,30,9.5,12,1.7,16,Aves del Norte,False,,2025-07-27,-18.0,40.0,alto
PRD014,Pan blanco 600g,panaderia,2025-08-07,140,1.2,55,7.9,5,Panaderia La Rural,False,,2025-07-30,22.0,55.0,medio
PRD015,Refresco sabor naranja 330ml,bebidas,2025-09-20,200,1.0,95,13.6,49,Refrescos Unidos,True,0.9,2025-07-30,10.0,70.0,bajo
PRD016,Queso cheddar 200g,lacteos,2025-08-19,45,4.0,9,1.3,17,Quesos Finos,False,,2025-07-28,4.0,80.0,bajo
PRD017,Jugos tropicales 1L,bebidas,2025-09-25,130,2.0,65,9.3,54,JugoFresco,False,,2025-07-31,8.0,72.0,bajo
PRD018,Huevo orgánico 12 piezas,verduras,2025-08-09,100,3.0,20,2.9,7,Huevos del Campo,False,,2025-07-30,5.0,85.0,bajo
PRD019,Limon 1kg,verduras,2025-08-29,80,1.1,40,5.7,27,Círculo Frutal,False,,2025-07-29,6.0,80.0,bajo
PRD020,Refresco cola 330ml,bebidas,2025-09-08,210,1.2,100,14.3,37,Refrescos Unidos,False,,2025-07-29,10.0,70.0,bajo
PRD001,Manzanas Granny Smith,frutas,2025-08-25,120,1.2,50,7.1,23,Agricola del Valle,False,,2025-07-30,4.0,75.0,bajo
PRD002,Leche Entera 1L,lacteos,2025-08-20,85,1.0,70,10.0,18,Lácteos San Juan,True,0.8,2025-07-29,4.5,80.0,bajo
PRD003,Broccoli,verduras,2025-08-15,60,2.5,20,3.0,13,Verduras Orgánicas,False,,2025-07-31,1.5,85.0,medio
PRD004,Filete de Pollo,carnes,2025-08-10,40,7.5,15,2.1,8,Carnes del Norte,False,,2025-07-31,2.0,70.0,alto
PRD005,Pan Integral,panaderia,2025-08-04,150,1.8,120,17.1,2,Panadería Central,True,1.5,2025-07-31,22.0,65.0,bajo
PRD006,Jugo de Naranja 1L,bebidas,2025-08-28,200,2.0,90,12.9,26,Frutas y Jugos S.A.,False,,2025-07-30,5.0,80.0,bajo
PRD007,Queso Cheddar 200g,lacteos,2025-08-22,75,3.5,55,7.8,20,Quesos del Norte,False,,2025-07-31,4.0,75.0,bajo
PRD008,Hamburguesas de Carne,carnes,2025-08-12,30,5.0,10,1.4,10,Carnicería La Estrella,False,,2025-07-30,2.5,70.0,alto
PRD009,Galletas Integrales,panaderia,2025-08-30,100,2.2,60,8.6,28,Panadería La Baguette,False,,2025-07-31,22.0,65.0,bajo
PRD010,Agua Mineral 1.5L,bebidas,2025-08-27,180,1.3,80,11.4,25,Aguas Puras,False,,2025-07-29,8.0,80.0,bajo
PRD011,Yogurt Natural 150g,lacteos,2025-08-19,90,0.9,65,9.3,17,Yogur Factory,True,0.7,2025-07-30,4.0,75.0,bajo
PRD012,Salami de Cerdo,carnes,2025-08-16,45,4.5,12,1.7,14,Embutidos La Tradición,False,,2025-07-30,3.0,65.0,alto
PRD013,Pan de Molde,panaderia,2025-08-06,130,2.0,100,14.3,4,Panadería La Primera,False,,2025-07-31,22.0,65.0,bajo
PRD014,Jamon Cocido 100g,carnes,2025-08-09,55,3.8,20,2.9,7,Embutidos y Jamones,False,,2025-07-30,1.5,60.0,alto
PRD015,Refresco Cola 355ml,bebidas,2025-08-24,160,1.5,95,13.6,22,Refrescos Global,True,1.2,2025-07-31,8.0,80.0,bajo
PRD016,Mantequilla 200g,lacteos,2025-08-23,65,2.8,40,5.7,21,Lácteos San Juan,False,,2025-07-30,4.0,75.0,bajo
PRD017,Naranja Sanguina 1kg,frutas,2025-08-14,100,3.0,35,5.0,12,Frutas y Jugos S.A.,False,,2025-07-31,10.0,85.0,bajo
PRD018,Galletas Oreo,panaderia,2025-08-27,90,2.5,65,9.3,25,Galletas y Más,True,2.0,2025-07-31,22.0,65.0,bajo
PRD019,Agua con Gas 500ml,bebidas,2025-08-29,170,1.4,75,10.7,27,Refrescos Global,False,,2025-07-30,8.0,80.0,bajo
PRD020,Yogurt de Frambuesa 150g,lacteos,2025-08-18,80,1.1,58,8.3,16,Yogur Factory,False,,2025-07-30,4.0,75.0,bajo
PRD-0001,Manzanas Golden,frutas,2025-08-20,150,1.2,70,10.0,18,Frutícola Central,False,,2025-07-31,4.0,85.0,bajo
PRD-0002,Leche Entera 1L,lacteos,2025-08-15,60,0.9,55,8.0,13,Lácteos del Valle,True,0.8,2025-07-30,4.0,90.0,bajo
PRD-0003,Zanahorias 500g,verduras,2025-08-25,200,0.5,120,17.0,23,Verduras Frescas,False,,2025-07-29,3.0,80.0,bajo
PRD-0004,Pollo Piezas 1kg,carnes,2025-08-10,75,5.5,45,6.0,8,Carnes del Norte,True,5.0,2025-07-31,2.0,75.0,alto
PRD-0005,Pan Baguette,panaderia,2025-08-06,300,1.0,160,23.0,4,Panadería La Tradición,False,,2025-07-31,8.0,70.0,medio
PRD-0006,Agua Mineral 1.5L,bebidas,2025-09-05,400,0.6,210,30.0,34,Bebidas y Más,False,,2025-07-30,10.0,60.0,bajo
PRD-0007,Queso Manchego 200g,lacteos,2025-08-18,50,3.2,30,4.0,16,Lácteos del Valle,False,,2025-07-28,4.0,88.0,medio
PRD-0008,Fresas 250g,frutas,2025-08-04,80,2.5,55,8.0,2,Frutícola Central,True,2.0,2025-07-31,2.0,95.0,alto
PRD-0009,Carne de Res 1kg,carnes,2025-08-09,40,9.8,20,3.0,7,Carnes del Norte,False,,2025-07-27,-1.0,80.0,alto
PRD-0010,Jugo de Naranja 1L,bebidas,2025-08-30,120,1.5,90,13.0,28,JugoNaranja SA,False,,2025-07-29,8.0,70.0,bajo
PRD-0011,Yogurt Natural 125g,lacteos,2025-08-12,90,0.8,65,9.0,10,Lácteos del Valle,False,,2025-07-30,4.0,85.0,bajo
PRD-0012,Aceitunas Negras 150g,verduras,2025-08-27,55,2.0,35,5.0,25,Verduras Frescas,False,,2025-07-29,5.0,82.0,bajo
PRD-0013,Cerveza Artesanal 330ml,bebidas,2025-09-10,180,2.8,130,19.0,39,Bebidas y Más,False,,2025-07-28,12.0,55.0,medio
PRD-0014,Hamburguesa Ingredientes Pack,panaderia,2025-08-14,100,4.5,70,10.0,12,Panadería La Tradición,False,,2025-07-31,8.0,72.0,medio
PRD-0015,Refresco Cola 330ml,bebidas,2025-08-09,220,1.2,140,20.0,7,Bebidas y Más,True,1.0,2025-07-31,8.0,65.0,medio
PRD-0016,Espinaca 300g,verduras,2025-08-22,90,1.1,60,9.0,20,Verduras Frescas,False,,2025-07-29,2.0,85.0,bajo
PRD-0017,Queso Gouda 200g,lacteos,2025-08-25,65,3.5,25,3.0,23,Lácteos del Valle,False,,2025-07-28,4.0,86.0,medio
PRD-0018,Naranja 1kg,frutas,2025-08-18,170,1.0,100,14.0,16,Frutícola Central,False,,2025-07-30,5.0,85.0,bajo
PRD-0019,Yogurt de Chocolate 125g,lacteos,2025-08-23,95,1.1,55,8.0,21,Lácteos del Valle,True,1.0,2025-07-31,4.0,84.0,bajo
PRD-0020,Coca Cola 330ml,bebidas,2025-08-28,250,1.3,160,23.0,26,Bebidas y Más,False,,2025-07-31,8.0,65.0,medio
PRD001,Manzanas Rojas,frutas,2025-08-20,150,1.2,45,6.4,18,Frutas del Valle,False,,2025-07-30,4.0,70.0,bajo
PRD002,Leche Entera,lacteos,2025-08-15,80,0.9,60,8.6,13,Lácteos La Estrella,True,0.75,2025-07-29,4.0,85.0,bajo
